caseid,weight,F1,F2,F3,F4,F5,F6,Economic Mobility 1,Economic Mobility 2,Economic Mobility 3,Economic Mobility 4,Economic Mobility 5,Economic Mobility 6,Economic Mobility 7,Education 1,Education 2,Education 3,Education 4,Education 5,Education 6,Education 7,Education 8,Education 9,Healthcare 1,Healthcare 2,Healthcare 3,Healthcare 4,Healthcare 5,Healthcare 6,Healthcare 7,,Energy 1,Energy 2,Energy 3,Energy 4,Energy 5,Fed Spending & Debt,Taxes 1,Taxes 2,Taxes 3,Taxes 4,Taxes 5,Taxes 6,Taxes 7,Grand Bargain or Current Direction?,pid3,What would you change to make you reconsider,birthyr,gender,race,hispanic,educ,marstat,employ,faminc_new,child18,inputzip,inputstate,ownhome,pid7,presvote20post,presvote24post,votereg,ideo5,newsint,religpew,pew_churatd,pew_bornagain,pew_religimp,pew_prayer,starttime,endtime
2331398854,0.8770142871,Not sure,Not much into talking politics,Not sure,Not sure,Not sure,Not sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Not Sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Current Direction,Republican,Nothing I can think of.,1964,Male,White,No,4-year,Married,Full-time,"$100,000 - $119,999",No,92126,California,Own,Strong Republican,Donald Trump,Donald Trump,Yes,Conservative,Some of the time,Protestant,More than once a week,Yes,Very important,Several times a day,2025-06-28 20:54:11,2025-06-28 21:08:21
2332436660,0.8454311233,Not sure,feel intrusive,Not sure,Probably yes,Not sure,Not sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Good Idea,Not Sure,Dislike It,Not Sure,Good Idea,Dislike It,Not Sure,Not Sure,Current Direction,Republican,more attention to detail on debt,1944,Male,White,No,Post-grad,Married,Retired,"$120,000 - $149,999",No,92802,California,Own,Strong Republican,Donald Trump,Donald Trump,Yes,Conservative,Most of the time,Roman Catholic,A few times a year,No,Somewhat important,A few times a week,2025-06-29 5:00:30,2025-06-29 5:18:15
2334811496,0.7775717471,No,Don’t recommend,No,Not sure,Not sure,No,Not Sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Not Sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Current Direction,Republican,Remove government spending,1955,Male,White,Yes,Some college,Married,Retired,"$100,000 - $119,999",No,90278,California,Own,Strong Republican,Donald Trump,Donald Trump,Yes,Conservative,Most of the time,Roman Catholic,Once or twice a month,No,Very important,Once a day,2025-06-30 22:59:02,2025-06-30 23:06:05
2334950408,0.92547525,Yes,Safety and being accurate,Not sure,Probably yes,Not sure,Not sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Current Direction,Republican,Require participation and active use overall,1980,Male,White,No,4-year,Never married,Temporarily laid off,"$70,000 - $79,999",No,92656,California,Own,Not very strong Republican,Donald Trump,Donald Trump,Yes,Conservative,Most of the time,Jewish,Seldom,No,Not at all important,Seldom,2025-07-01 0:58:55,2025-07-01 1:04:19
2332783410,0.6580149821,No,None,No,Probably no,No,Not sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Current Direction,Not sure,,1987,Female,Asian,No,Post-grad,Married,Homemaker,"$120,000 - $149,999",Yes,91367,California,Rent,Not sure,Did not vote for President,Did not vote for President,No,Not sure,Don't know,Hindu,Don't know,Yes,Not at all important,Once a day,2025-06-29 22:09:38,2025-06-29 22:14:31
2335052276,0.8838066668,Yes,Not sure.,Not sure,Not sure,Not sure,Not sure,Good Idea,Critical to Me & Others,Good Idea,Critical to Me & Others,Not Sure,Critical to Me & Others,Good Idea,Good Idea,Not Sure,Hate It,Not Sure,Critical to Me & Others,Not Sure,Critical to Me & Others,Critical to Me & Others,Not Sure,Critical to Me & Others,Dislike It,Not Sure,Not Sure,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,,Not Sure,Critical to Me & Others,Not Sure,Critical to Me & Others,Not Sure,Not Sure,Critical to Me & Others,Not Sure,Hate It,Not Sure,Not Sure,Not Sure,Dislike It,Current Direction,Not sure,Universal basic healthcare. Universal basic income.,1997,Female,White,No,No HS,Separated,Permanently disabled,"Less than $10,000",No,95608,California,Other,Not sure,Did not vote for President,Kamala Harris,Yes,Not sure,Only now and then,Nothing in particular,Never,No,Not at all important,Seldom,2025-07-01 2:41:18,2025-07-01 2:49:01
2333560076,1.843062927,Not sure,Not sure,No,Not sure,Not sure,Not sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Current Direction,Not sure,,1996,Female,White,Yes,High school graduate,Never married,Unemployed,Prefer not to say,No,90201,California,Rent,Not sure,Did not vote for President,Did not vote for President,Yes,Not sure,Some of the time,Roman Catholic,A few times a year,No,Very important,Several times a day,2025-07-01 3:09:31,2025-07-01 8:04:47
2331185842,0.3846995405,Not sure,"I need to know if this is the sort of thing they are interested in. I do not ""spam"" others just because I think something is interesting.",Yes,Probably yes,Not sure,Not sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,Hate It,Hate It,Hate It,Hate It,Hate It,Hate It,Hate It,Current Direction,Independent,Do not raise taxes just because some people work harder than others and earn more. It makes no sense to punish hard working families for their successes.,1983,Male,Asian,No,4-year,Married,Full-time,"$500,000 or more",No,94112,California,Own,Independent,Did not vote for President,Did not vote for President,No,Moderate,Some of the time,Buddhist,Seldom,No,Somewhat important,A few times a month,2025-06-28 5:58:17,2025-06-28 6:09:47
2331219536,0.722922163,No,"The approach to phrasing some of the issues presented — with faulty logic, lack of evidence, and illogical conclusions",No,Probably no,No,No,Good Idea,Good Idea,Good Idea,Dislike It,Good Idea,Not Sure,Not Sure,Good Idea,Good Idea,Dislike It,Dislike It,Not Sure,Good Idea,Dislike It,Good Idea,Not Sure,Not Sure,Not Sure,Good Idea,Not Sure,Not Sure,Dislike It,Dislike It,,Hate It,Hate It,Hate It,Hate It,Hate It,Not Sure,Hate It,Hate It,Hate It,Hate It,Hate It,Hate It,Hate It,Current Direction,Independent,"Education support, initiatives that support entrepreneurial initiative",1993,Female,White,No,Post-grad,Never married,Full-time,Prefer not to say,No,93101,California,Own,Independent,Did not vote for President,Did not vote for President,No,Liberal,Most of the time,Something else,Seldom,No,Somewhat important,Once a day,2025-06-28 17:53:56,2025-06-28 18:24:05
2332035392,1.128988968,Not sure,there already are a lot of apps.,Not sure,Probably no,Not sure,Not sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Good Idea,Good Idea,Good Idea,Not Sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,,Hate It,Hate It,Hate It,Hate It,Hate It,Dislike It,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Current Direction,Independent,Don't like your take on the energy sector at all. Your take on education was simplistic and not geared to correcting problem.,1954,Male,White,No,4-year,Married,Full-time,"$100,000 - $119,999",No,92054,California,Own,Lean Republican,Donald Trump,Donald Trump,Yes,Moderate,Most of the time,Protestant,A few times a year,No,Somewhat important,A few times a week,2025-06-28 20:52:17,2025-06-28 21:04:46
2332594406,0.4559361811,No,I dont share apps like that,No,Not sure,No,No,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Current Direction,Independent,Nothing,1980,Male,White,Yes,4-year,Married,Part-time,"$70,000 - $79,999",Yes,93230,California,Own,Independent,Other,Donald Trump,Yes,Conservative,Some of the time,Protestant,Once a week,Yes,Very important,Once a day,2025-06-29 7:54:39,2025-06-29 20:46:31
2333534282,4.756684824,No,don't wanna share apps,Not sure,Not sure,Not sure,Not sure,Not Sure,Good Idea,Good Idea,Not Sure,Good Idea,Not Sure,Hate It,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,Not Sure,Not Sure,Critical to Me & Others,Good Idea,,Good Idea,Not Sure,Not Sure,Not Sure,Hate It,Hate It,Not Sure,Dislike It,Not Sure,Not Sure,Hate It,Dislike It,Not Sure,Current Direction,Independent,i don't think 75% of the country will agree on much,2006,Male,White,No,Some college,Never married,Student,"$100,000 - $119,999",No,94519,California,Own,Lean Republican,Did not vote for President,Donald Trump,Yes,Moderate,Some of the time,Protestant,Once a week,No,Very important,Once a day,2025-06-30 1:00:19,2025-06-30 1:13:37
2332641288,0.8337452165,Not sure,want to know subject material before it would be sent.,Not sure,Not sure,Not sure,Yes,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,Good Idea,Good Idea,Not Sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,,Good Idea,Dislike It,Not Sure,Not Sure,Dislike It,Critical to Me & Others,Good Idea,Dislike It,Good Idea,Not Sure,Good Idea,Good Idea,Dislike It,Current Direction,Independent,term limits for all elected officials.,1961,Male,White,No,4-year,Married,Retired,"$150,000 - $199,999",No,92629,California,Own,Independent,Did not vote for President,Donald Trump,Yes,Moderate,Some of the time,Protestant,Once a week,No,Somewhat important,Once a day,2025-07-01 22:09:09,2025-07-01 22:24:57
2331011172,0.701915133,Yes,Political dofferences,Yes,Probably yes,Not sure,Not sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Current Direction,Democrat,What congress votes on,2001,Female,White,No,High school graduate,Never married,Full-time,"$60,000 - $69,999",No,92054,California,Rent,Strong Democrat,Joe Biden,Kamala Harris,Yes,Moderate,Most of the time,Agnostic,Never,No,Not at all important,Seldom,2025-06-28 2:52:21,2025-06-28 2:56:50
2331347430,0.6722532973,Yes,Photos,No,Not sure,No,Yes,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Good Idea,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Current Direction,Democrat,,1995,Female,Hispanic,Yes,2-year,Never married,Full-time,Prefer not to say,Yes,95117,California,Rent,Not very strong Democrat,Did not vote for President,Did not vote for President,Don't know,Moderate,Don't know,Roman Catholic,Seldom,No,Somewhat important,Seldom,2025-06-28 8:45:41,2025-06-28 8:55:27
2331469224,0.5273030203,Not sure,Not interested,No,Probably yes,Not sure,Not sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Current Direction,Democrat,Not sure what to say,1983,Male,White,No,Post-grad,Married,Full-time,"$100,000 - $119,999",Yes,92707,California,Own,Strong Democrat,Joe Biden,Kamala Harris,Yes,Very liberal,Most of the time,Nothing in particular,Never,No,Not at all important,Never,2025-06-28 10:52:25,2025-06-28 11:02:17
2331475902,0.8780729711,No,Not sure who is behind it and fear its just more disinformation,Not sure,Not sure,Not sure,Not sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Critical to Me & Others,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Current Direction,Democrat,If this is supported by the republicans I would not support it because I do not trust their intentions,1962,Male,White,No,4-year,Divorced,Retired,"$350,000 - $499,999",No,94530,California,Own,Strong Democrat,Joe Biden,Donald Trump,Yes,Liberal,Most of the time,Atheist,Never,No,Not at all important,Never,2025-06-28 11:01:47,2025-06-28 11:12:34
2332553518,1.141789473,Not sure,I don't know,No,Probably yes,Yes,Yes,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Current Direction,Democrat,,1971,Male,Asian,No,High school graduate,Divorced,Full-time,"$20,000 - $29,999",No,90220,California,Rent,Strong Democrat,Joe Biden,Kamala Harris,Yes,Very liberal,Most of the time,Roman Catholic,A few times a year,Yes,Very important,Several times a day,2025-06-29 7:13:25,2025-06-29 7:20:16
2332607530,0.5273030203,Yes,None,Yes,Probably yes,No,No,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Current Direction,Democrat,,1982,Male,White,No,Post-grad,Married,Full-time,"$120,000 - $149,999",Yes,90019,California,Own,Strong Democrat,Joe Biden,Kamala Harris,Yes,Liberal,Some of the time,Atheist,Never,No,Not at all important,Never,2025-06-29 8:09:36,2025-06-29 8:17:48
