caseid,weight,F1,F2,F3,F4,F5,F6,Economic Mobility 1,Economic Mobility 2,Economic Mobility 3,Economic Mobility 4,Economic Mobility 5,Economic Mobility 6,Economic Mobility 7,Education 1,Education 2,Education 3,Education 4,Education 5,Education 6,Education 7,Education 8,Education 9,Healthcare 1,Healthcare 2,Healthcare 3,Healthcare 4,Healthcare 5,Healthcare 6,Healthcare 7,Healthcare 8,Energy 1,Energy 2,Energy 3,Energy 4,Energy 5,Fed Spending & Debt,Taxes 1,Taxes 2,Taxes 3,Taxes 4,Taxes 5,Taxes 6,Taxes 7,Grand Bargain or Current Direction?,pid3,What would you change to make you reconsider,birthyr,gender,race,hispanic,educ,marstat,employ,faminc_new,child18,inputzip,inputstate,ownhome,pid7,presvote20post,presvote24post,votereg,ideo5,newsint,religpew,pew_churatd,pew_bornagain,pew_religimp,pew_prayer,starttime,endtime
2286626726,0.7050069535,Yes,Who is behind it,Yes,Probably yes,Not sure,Yes,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Good Idea,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Grand Bargain,Independent,,1957,Male,White,No,Some college,Married,Retired,"$20,000 - $29,999",No,36852,Alabama,Own,Lean Republican,Donald Trump,Donald Trump,Yes,Very conservative,Most of the time,Protestant,More than once a week,Yes,Very important,Several times a day,2025-06-04 13:01:26,2025-06-04 13:25:32
2284746368,0.7797837788,Yes,None,Yes,Probably yes,Not sure,No,Good Idea,Not Sure,Good Idea,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Not Sure,Good Idea,Not Sure,Not Sure,Good Idea,Not Sure,Not Sure,Not Sure,Not Sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Current Direction,Democrat,I’m not really sure what needs to happen,1951,Female,White,No,High school graduate,Divorced,Retired,"$10,000 - $19,999",No,35976,Alabama,Rent,Not very strong Democrat,Did not vote for President,Did not vote for President,No,Very conservative,Only now and then,Something else,More than once a week,Yes,Very important,A few times a week,2025-06-03 15:50:28,2025-06-03 15:57:37
2284064920,2.908416534,Yes,Not sure how you go about getting it all done,Yes,Definitely yes,Yes,Yes,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Grand Bargain,Democrat,,1960,Male,Black,No,No HS,Married,Retired,"$30,000 - $39,999",No,36608,Alabama,Own,Not very strong Democrat,Did not vote for President,Kamala Harris,Yes,Liberal,Some of the time,Protestant,Once a week,Yes,Very important,Several times a day,2025-06-04 1:45:25,2025-06-04 2:18:32
2286298032,0.4431190734,Yes,Privacy concerns – I’d want to be sure the app doesn’t collect or share too much personal data.,No,Probably yes,Yes,Yes,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Current Direction,Democrat,"To build a package that more than 75% of the country could support, you'd need to focus on fairness, pragmatism, and balance across political lines.",2002,Female,Asian,No,Post-grad,Never married,Full-time,"$40,000 - $49,999",No,36027,Alabama,Rent,Strong Democrat,Joe Biden,Kamala Harris,Yes,Liberal,Most of the time,Roman Catholic,More than once a week,Yes,Very important,Several times a day,2025-06-04 9:58:29,2025-06-04 10:10:43
2284587942,0.7947888041,Not sure,I fear that most of these people would not read the verbiage due to the length of it.,Not sure,Probably yes,Yes,Yes,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Not Sure,Hate It,Hate It,Hate It,Hate It,Hate It,Hate It,Hate It,Grand Bargain,Republican,,1950,Male,Other,No,4-year,Married,Retired,"$100,000 - $119,999",No,99686,Alaska,Own,Strong Republican,Donald Trump,Donald Trump,Yes,Very conservative,Most of the time,Protestant,More than once a week,Yes,Very important,Several times a day,2025-06-03 14:12:32,2025-06-03 14:30:19
2284316446,2.766836761,Not sure,Unsure,Not sure,Not sure,Not sure,Not sure,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Current Direction,Republican,Unsure,1990,Female,White,No,2-year,Married,Full-time,"$60,000 - $69,999",Yes,99682,Alaska,Own,Not very strong Republican,Donald Trump,Donald Trump,Yes,Conservative,Some of the time,Protestant,A few times a year,Yes,Very important,Several times a day,2025-06-04 1:56:32,2025-06-04 2:03:01
2284284182,0.9076725524,Not sure,"i dont use apps,security issues.",No,Definitely yes,Yes,No,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Grand Bargain,Republican,,1976,Male,White,No,Some college,Married,Permanently disabled,"$50,000 - $59,999",No,99901,Alaska,Own,Not very strong Republican,Did not vote for President,Kamala Harris,Yes,Moderate,Some of the time,Nothing in particular,Seldom,Yes,Very important,Several times a day,2025-06-04 3:09:45,2025-06-04 3:22:56
2285209702,0.9298057428,Yes,I will receive less surveys due to groeing population,Yes,Definitely yes,Yes,Not sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Hate It,Good Idea,Good Idea,Not Sure,Grand Bargain,Not sure,,2000,Male,White,No,Post-grad,Never married,Full-time,"$500,000 or more",No,99901,Alaska,Own,Not sure,Did not vote for President,Did not vote for President,Yes,Not sure,Only now and then,Nothing in particular,Once a week,Yes,Very important,Several times a day,2025-06-03 21:47:35,2025-06-03 21:58:11
2283385914,0.7485246546,Yes,None,Yes,Probably yes,Yes,Not sure,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Hate It,Hate It,Hate It,Hate It,Hate It,Hate It,Hate It,Hate It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Not Sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Grand Bargain,Republican,,1962,Female,White,No,Post-grad,Married,Full-time,"$120,000 - $149,999",No,86413,Arizona,Own,Not very strong Republican,Joe Biden,Kamala Harris,Yes,Conservative,Most of the time,Nothing in particular,A few times a year,No,Not too important,Seldom,2025-06-03 2:56:44,2025-06-03 3:02:23
2284406540,0.685813492,No,I don't impose my thoughts and ideas on others. They are their own keepers,No,Not sure,Not sure,No,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Grand Bargain,Republican,,1943,Male,White,No,Some college,Divorced,Retired,"$10,000 - $19,999",No,85122,Arizona,Own,Not very strong Republican,Donald Trump,Donald Trump,Yes,Conservative,Some of the time,Nothing in particular,Once a week,No,Somewhat important,Once a week,2025-06-03 14:15:47,2025-06-03 14:28:44
2284594130,1.386525559,Not sure,Not sure if they would be interested.,No,Definitely no,No,Not sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Dislike It,Good Idea,Good Idea,Good Idea,Dislike It,Dislike It,Good Idea,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Good Idea,Not Sure,Good Idea,Not Sure,Not Sure,Good Idea,Hate It,Hate It,Hate It,Hate It,Hate It,Dislike It,Hate It,Hate It,Good Idea,Good Idea,Hate It,Hate It,Not Sure,Current Direction,Republican,"More federal spending and more taxes are NOT the answer, ever!",1963,Male,White,No,Some college,Married,Retired,"$80,000 - $99,999",No,86404,Arizona,Own,Strong Republican,Donald Trump,Donald Trump,Yes,Very conservative,Most of the time,Nothing in particular,Seldom,Yes,Somewhat important,Never,2025-06-03 14:15:27,2025-06-03 14:40:34
2284751654,0.8477317475,Yes,"I don't think I would have a problem sharing it. It was very interesting to read it actually, I think others would find it interesting.",Not sure,Not sure,Not sure,Not sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Good Idea,Not Sure,Good Idea,Good Idea,Not Sure,Not Sure,Critical to Me & Others,Good Idea,Not Sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Critical to Me & Others,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,Not Sure,Good Idea,Not Sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Grand Bargain,Republican,,1967,Female,White,No,2-year,Divorced,Permanently disabled,"$10,000 - $19,999",No,85939,Arizona,Rent,Not very strong Republican,Donald Trump,Donald Trump,Yes,Conservative,Most of the time,Something else,A few times a year,No,Very important,Several times a day,2025-06-03 15:58:52,2025-06-03 16:12:23
2285211444,1.220971541,Yes,"Because of privacy concerns, the potential for unwanted drama or jealousy, and a desire for control over their own information. The fear of being tracked, the feeling of losing privacy, and the possibility of unwanted attention or interference are all potential reasons for reservation.",Not sure,Probably yes,Yes,Yes,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Grand Bargain,Republican,,1998,Female,White,No,4-year,Married,Full-time,"$80,000 - $99,999",Yes,85033,Arizona,Own,Strong Republican,Donald Trump,Donald Trump,Yes,Moderate,Some of the time,Roman Catholic,Once or twice a month,No,Somewhat important,A few times a week,2025-06-03 21:52:52,2025-06-03 22:01:26
2285395586,1.424692715,Yes,"none, already have referred friends",Yes,Definitely yes,Yes,Yes,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Hate It,Hate It,Hate It,Hate It,Hate It,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Grand Bargain,Republican,,1963,Female,White,No,Post-grad,Married,Retired,"$120,000 - $149,999",No,85262,Arizona,Own,Strong Republican,Donald Trump,Donald Trump,Yes,Conservative,Most of the time,Protestant,Seldom,No,Not too important,Seldom,2025-06-03 23:55:38,2025-06-04 0:04:18
2284705186,0.6309869148,No,"I use almost no apps and have a need for very few. It is insane to need an App for every restaurant, airline, store etc. when you can do the same thing by just using a single web browser.",No,Definitely no,Not sure,No,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Hate It,Hate It,Hate It,Hate It,Hate It,Hate It,Hate It,Hate It,Hate It,Hate It,Hate It,Hate It,Hate It,Hate It,Hate It,Hate It,Hate It,Hate It,Hate It,Hate It,Hate It,Current Direction,Republican,"First off, your survey is terribly biased and off base. All of your solutions require more government spending and higher taxes. The opposite of what you are trying to solve. To solve our problem of spending too much money and increasing our debit, we should be reducing spending rather than raising taxes. For instance the Department of Education can be eliminated and education should be given back to the states. This plan will reduce spending, lower taxes, and improve our education system. Another solution would be to not pay the education for Illegal Aliens. Prior studies have shown that we spend more than $2,000 for each illegal alien per year. If we deport them we would save money and lower taxes! We cannot afford to support the entire world and they cannot all live in the United States.",1956,Male,White,No,4-year,Married,Part-time,"$200,000 - $249,999",No,85024,Arizona,Own,Strong Republican,Donald Trump,Donald Trump,Yes,Very conservative,Most of the time,Nothing in particular,Seldom,No,Not too important,Never,2025-06-04 4:52:52,2025-06-04 5:22:09
2286667126,0.5942719388,Yes,None for now.,Yes,Probably yes,Yes,Not sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Grand Bargain,Republican,,1990,Male,Black,No,4-year,Never married,Part-time,"$40,000 - $49,999",No,85007,Arizona,Own,Strong Republican,Did not vote for President,Donald Trump,Yes,Conservative,Most of the time,Protestant,Once a week,Yes,Very important,Once a day,2025-06-04 12:58:23,2025-06-04 13:12:34
2286627622,0.5080336536,Yes,None,Yes,Not sure,Not sure,Not sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Grand Bargain,Republican,,1967,Female,White,No,High school graduate,Widowed,Homemaker,"$20,000 - $29,999",No,85022,Arizona,Rent,Not very strong Republican,Did not vote for President,Did not vote for President,No,Moderate,Only now and then,Nothing in particular,Never,No,Not too important,A few times a month,2025-06-04 15:57:57,2025-06-04 16:07:28
2280943612,1.74475733,Not sure,Don't share apps,Not sure,Probably yes,Not sure,No,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Not Sure,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Current Direction,Other,,1962,Female,White,No,4-year,Domestic / civil partnership,Full-time,Prefer not to say,No,85383,Arizona,Own,Independent,Donald Trump,Donald Trump,Yes,Moderate,Most of the time,Protestant,Seldom,No,Not too important,A few times a week,2025-06-02 18:32:19,2025-06-02 18:39:09
