caseid,weight,F1,F2,F3,F4,F5,F6,Economic Mobility 1,Economic Mobility 2,Economic Mobility 3,Economic Mobility 4,Economic Mobility 5,Economic Mobility 6,Economic Mobility 7,Education 1,Education 2,Education 3,Education 4,Education 5,Education 6,Education 7,Education 8,Education 9,Healthcare 1,Healthcare 2,Healthcare 3,Healthcare 4,Healthcare 5,Healthcare 6,Healthcare 7,,Energy 1,Energy 2,Energy 3,Energy 4,Energy 5,Fed Spending & Debt,Taxes 1,Taxes 2,Taxes 3,Taxes 4,Taxes 5,Taxes 6,Taxes 7,Grand Bargain or Current Direction?,pid3,What would you change to make you reconsider,birthyr,gender,race,hispanic,educ,marstat,employ,faminc_new,child18,inputzip,inputstate,ownhome,pid7,presvote20post,presvote24post,votereg,ideo5,newsint,religpew,pew_churatd,pew_bornagain,pew_religimp,pew_prayer,starttime,endtime,
2415597456,0.5972179352,Not sure,Age difference as to what I think is cool and they do.,Not sure,Probably yes,Not sure,Not sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,,Dislike It,Dislike It,Hate It,Good Idea,Hate It,Critical to Me & Others,Hate It,Critical to Me & Others,Critical to Me & Others,Not Sure,Critical to Me & Others,Critical to Me & Others,Good Idea,Grand Bargain,Independent,"Most people don't care except when they are affected, and the only easy information is on television news or talk shows.
It is too complicated for the average person..",1947,Male,White,No,4-year,Married,Retired,"$70,000 - $79,999",No,95843,California,Own,Independent,Donald Trump,Donald Trump,Yes,Moderate,Most of the time,Roman Catholic,Once a week,No,Somewhat important,Once a week,2025-08-22 17:08:19,2025-08-22 17:34:28,Third generation
2415339418,0.7906905918,Not sure,I don't discuss politics with friends.,No,Probably no,No,No,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Dislike It,Not Sure,Good Idea,Not Sure,Not Sure,Not Sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,Good Idea,Not Sure,Good Idea,Good Idea,Good Idea,Good Idea,Grand Bargain,Republican,"Audit medical doctors and facilities more frequently. I  worked in the medical field for 45 years and I know that doctors submit claims to Medicare and other insurance companies for procedures that aren't done. Doctors also submit claims for a higher level on individual office visits. They are getting insanely wealthy by their unlawful actions, especially with Medicare claims. The doctors are the cause of Medicare losing money, not the patients, so don’t punish the patients by cutting their benefits.",1949,Female,White,No,4-year,Married,Retired,"$60,000 - $69,999",No,85118,Arizona,Own,Strong Republican,Donald Trump,Donald Trump,Yes,Conservative,Some of the time,Roman Catholic,Never,No,Not at all important,Seldom,2025-08-22 17:08:53,2025-08-22 17:39:43,Second generation
2415511142,1.312868655,No,I don't want to send any unsolicited 'anything' to anyone!,No,Definitely no,Not sure,No,Good Idea,Good Idea,Not Sure,Dislike It,Dislike It,Dislike It,Hate It,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,Good Idea,Not Sure,Not Sure,Not Sure,Good Idea,Good Idea,Not Sure,Not Sure,Good Idea,Good Idea,Good Idea,,Hate It,Hate It,Good Idea,Good Idea,Hate It,Good Idea,Hate It,Good Idea,Good Idea,Dislike It,Good Idea,Good Idea,Not Sure,Grand Bargain,Other,Term limits!  Stop gerrymandering. IRS audits each year for Congress and campaigns. Blind trusts for elected officials.,1959,Female,White,No,4-year,Married,Part-time,"$20,000 - $29,999",No,13431,New York,Own,Lean Republican,Donald Trump,Donald Trump,Yes,Conservative,Most of the time,Nothing in particular,Never,No,Not too important,A few times a month,2025-08-22 17:07:54,2025-08-22 17:40:02,Second generation
2413285140,0.4958840167,Yes,No reservations it is what it is,No,Definitely yes,Yes,Not sure,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Good Idea,,Good Idea,Good Idea,Good Idea,Good Idea,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Grand Bargain,Independent,More support for the president and blessing time putting him down and more time on all of the subjects you mentioned today they are very important to all of us no matter what part you are they are critical for us please let the president do his job with whining trying to dig up garbage let's get things straight thank you so much for letting me from my input in that's only my opinion and my boyfriend,1941,Female,White,No,Some college,Widowed,Retired,"$20,000 - $29,999",No,34235,Florida,Own,Lean Republican,Donald Trump,Other,Yes,Moderate,Most of the time,Mormon,A few times a year,No,Very important,Several times a day,2025-08-22 17:03:59,2025-08-22 17:43:47,Third generation
2415781608,0.3694555898,Yes,Make our voices count,No,Probably yes,Yes,Not sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Good Idea,Grand Bargain,Democrat,,1975,Female,Asian,No,2-year,Married,Unemployed,"$60,000 - $69,999",No,92869,California,Rent,Not very strong Democrat,Joe Biden,Kamala Harris,Yes,Moderate,Some of the time,Roman Catholic,Once a week,No,Somewhat important,Once a week,2025-08-22 17:06:11,2025-08-22 21:15:03,Immigrant Citizen
2415435476,0.5815196892,Yes,Not sure if people would have time,Yes,Definitely yes,Yes,Not sure,Critical to Me & Others,Not Sure,Good Idea,Critical to Me & Others,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Critical to Me & Others,Good Idea,Good Idea,Good Idea,Critical to Me & Others,Critical to Me & Others,,Critical to Me & Others,Critical to Me & Others,Not Sure,Not Sure,Good Idea,Good Idea,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Good Idea,Good Idea,Grand Bargain,Democrat,Focus on childcare,1999,Female,White,No,4-year,Domestic / civil partnership,Full-time,"$40,000 - $49,999",No,98104,Washington,Rent,Not very strong Democrat,Joe Biden,Kamala Harris,Yes,Very liberal,Some of the time,Buddhist,Once or twice a month,No,Somewhat important,A few times a week,2025-08-22 17:02:46,2025-08-23 1:39:39,Third generation
2419664532,1.036038973,Yes,None,Yes,Not sure,Not sure,Not sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Grand Bargain,Not sure,Not sure,1990,Male,White,No,High school graduate,Never married,Permanently disabled,"$20,000 - $29,999",No,17082,Pennsylvania,Rent,Independent,Did not vote for President,Did not vote for President,Don't know,Not sure,Don't know,Protestant,Seldom,No,Not too important,Seldom,2025-08-25 19:57:40,2025-08-25 20:04:43,Third generation
2419856420,1.021756745,Yes,None. I think it is an excellent proposal that would serve the American public much better than today’s government.,Yes,Definitely yes,Yes,Not sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Good Idea,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Grand Bargain,Democrat,,2004,Female,White,No,Some college,Never married,Student,Prefer not to say,No,28803,North Carolina,Rent,Strong Democrat,Did not vote for President,Kamala Harris,Yes,Very liberal,Most of the time,Agnostic,Seldom,No,Not too important,Seldom,2025-08-25 19:59:31,2025-08-25 20:07:20,Second generation
2419283114,0.858645623,No,I don’t think this is going to go anywhere.,No,Probably yes,Not sure,Not sure,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Good Idea,Good Idea,Good Idea,Not Sure,Not Sure,Not Sure,Good Idea,Not Sure,Critical to Me & Others,Grand Bargain,Democrat,"People need to start working together, I guess.",1992,Female,White,No,2-year,Never married,Full-time,"$20,000 - $29,999",No,63028,Missouri,Own,Strong Democrat,Joe Biden,Kamala Harris,Yes,Very liberal,Some of the time,Mormon,Once a week,No,Somewhat important,Once a day,2025-08-25 20:02:35,2025-08-25 20:08:53,Third generation
2417981188,0.7547087418,Yes,None,Not sure,Probably yes,Not sure,Not sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Not Sure,,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Dislike It,Grand Bargain,Democrat,,1988,Female,White,No,Post-grad,Never married,Full-time,"$40,000 - $49,999",No,12180,New York,Rent,Strong Democrat,Joe Biden,Kamala Harris,Yes,Very liberal,Most of the time,Agnostic,Seldom,No,Somewhat important,Several times a day,2025-08-25 19:56:19,2025-08-25 20:09:22,Third generation
2419857620,0.3575549079,Not sure,"I would want to better understand the funding sources and motivations of the company / organization that produced this app, and I am reticent to proselytize politically to people who I am not 100% sure would enjoy my sending them this sort of thing",Not sure,Not sure,Not sure,Not sure,Not Sure,Critical to Me & Others,Not Sure,Not Sure,Not Sure,Not Sure,Good Idea,Dislike It,Not Sure,Not Sure,Good Idea,Not Sure,Dislike It,Not Sure,Good Idea,Good Idea,Not Sure,Dislike It,Not Sure,Not Sure,Critical to Me & Others,Critical to Me & Others,Good Idea,,Not Sure,Not Sure,Good Idea,Good Idea,Not Sure,Good Idea,Not Sure,Not Sure,Not Sure,Good Idea,Good Idea,Not Sure,Good Idea,Grand Bargain,Independent,,1996,Male,White,No,Post-grad,Never married,Full-time,"$70,000 - $79,999",No,5301,Vermont,Rent,Independent,Joe Biden,Kamala Harris,Yes,Moderate,Most of the time,Roman Catholic,A few times a year,No,Very important,Once a day,2025-08-25 20:02:38,2025-08-25 20:13:44,Third generation
2419877858,1.60203258,Not sure,Their lack of interest in participating,No,Probably no,Yes,Yes,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,,Good Idea,Good Idea,Good Idea,Not Sure,Good Idea,Good Idea,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Good Idea,Good Idea,Grand Bargain,Democrat,,2004,Female,White,No,Some college,Never married,Student,Prefer not to say,No,27614,North Carolina,Own,Strong Democrat,Did not vote for President,Kamala Harris,Yes,Very liberal,Most of the time,Roman Catholic,A few times a year,No,Somewhat important,Don't know,2025-08-25 20:17:31,2025-08-25 20:24:02,Third generation
2419857330,0.6389922358,Yes,earning money,Yes,Probably yes,Yes,No,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,,Not Sure,Not Sure,Not Sure,Not Sure,Critical to Me & Others,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Grand Bargain,Republican,,1982,Female,Hispanic,Yes,High school graduate,Domestic / civil partnership,Full-time,"$40,000 - $49,999",No,78201,Texas,Own,Strong Republican,Donald Trump,Donald Trump,Yes,Moderate,Only now and then,Nothing in particular,Never,No,Not too important,Never,2025-08-25 20:01:49,2025-08-25 20:35:46,First generation
2419882058,1.285217857,No,Too confusing for most people,No,Not sure,No,No,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Dislike It,,Dislike It,Dislike It,Dislike It,Dislike It,Not Sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,Grand Bargain,Democrat,,1954,Male,White,No,High school graduate,Married,Retired,"$200,000 - $249,999",No,1826,Massachusetts,Own,Strong Democrat,Donald Trump,Donald Trump,Yes,Very conservative,Hardly at all,Nothing in particular,Never,No,Not at all important,Never,2025-08-25 20:33:02,2025-08-25 20:42:53,Second generation
