caseid,weight,F1,F2,F3,F4,F5,F6,Economic Mobility 1,Economic Mobility 2,Economic Mobility 3,Economic Mobility 4,Economic Mobility 5,Economic Mobility 6,Economic Mobility 7,Education 1,Education 2,Education 3,Education 4,Education 5,Education 6,Education 7,Education 8,Education 9,Healthcare 1,Healthcare 2,Healthcare 3,Healthcare 4,Healthcare 5,Healthcare 6,Healthcare 7,,Energy 1,Energy 2,Energy 3,Energy 4,Energy 5,Fed Spending & Debt,Taxes 1,Taxes 2,Taxes 3,Taxes 4,Taxes 5,Taxes 6,Taxes 7,Grand Bargain or Current Direction?,pid3,What would you change to make you reconsider,birthyr,gender,race,hispanic,educ,marstat,employ,faminc_new,child18,inputzip,inputstate,ownhome,pid7,presvote20post,presvote24post,votereg,ideo5,newsint,religpew,pew_churatd,pew_bornagain,pew_religimp,pew_prayer,starttime,endtime
2360369698,0.2586150516,Yes,none,Not sure,Definitely yes,Not sure,Not sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Dislike It,Good Idea,Dislike It,Dislike It,Dislike It,Dislike It,Good Idea,,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Dislike It,Good Idea,Good Idea,Good Idea,Dislike It,Grand Bargain,Independent,,1964,Male,White,No,Some college,Married,Full-time,"$120,000 - $149,999",Yes,2360,Massachusetts,Rent,Independent,Did not vote for President,Kamala Harris,Yes,Moderate,Only now and then,Roman Catholic,Seldom,No,Somewhat important,Seldom,2025-07-18 17:43:43,2025-07-18 17:54:52
2360370446,1.329057308,Yes,No reservations,Yes,Probably yes,Yes,Yes,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Dislike It,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Grand Bargain,Independent,,1958,Male,Black,No,2-year,Married,Retired,"$120,000 - $149,999",No,22602,Virginia,Own,Lean Democrat,Joe Biden,Kamala Harris,Yes,Moderate,Most of the time,Roman Catholic,Seldom,No,Somewhat important,A few times a month,2025-07-18 17:46:15,2025-07-18 17:55:15
2360373834,0.7905138971,Yes,My friends and family might think it is a scam. Most feel that they are overwhelmed by politics and surveys,Yes,Probably yes,Yes,Yes,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Grand Bargain,Democrat,,1970,Female,White,No,4-year,Married,Temporarily laid off,"$250,000 - $349,999",No,93933,California,Own,Not very strong Democrat,Joe Biden,Kamala Harris,Yes,Very liberal,Most of the time,Atheist,Never,No,Not at all important,Never,2025-07-18 17:46:41,2025-07-18 17:55:29
2357033566,0.7659413499,Not sure,Not everyone uses apps.,No,Not sure,Yes,No,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Grand Bargain,Democrat,,1969,Female,White,No,Post-grad,Married,Part-time,"$120,000 - $149,999",Yes,33406,Florida,Own,Strong Democrat,Joe Biden,Kamala Harris,Yes,Moderate,Most of the time,Protestant,Once or twice a month,No,Very important,Once a day,2025-07-18 17:46:10,2025-07-18 17:55:34
2360370098,0.4285178455,Yes,Would not have reservations because I would talk to them about it before I sent it,No,Probably no,No,Yes,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Dislike It,,Dislike It,Dislike It,Dislike It,Dislike It,Good Idea,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Good Idea,Grand Bargain,Democrat,,1966,Female,Black,No,2-year,Never married,Retired,"$20,000 - $29,999",No,76549,Texas,Rent,Not very strong Democrat,Joe Biden,Kamala Harris,Yes,Moderate,Some of the time,Protestant,Seldom,No,Very important,A few times a week,2025-07-18 17:45:51,2025-07-18 17:55:37
2360370032,0.8909338419,Yes,They might think it is spam,Yes,Not sure,Not sure,No,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Critical to Me & Others,Good Idea,Good Idea,Critical to Me & Others,Good Idea,Dislike It,Good Idea,Good Idea,Good Idea,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Dislike It,,Good Idea,Good Idea,Good Idea,Not Sure,Good Idea,Hate It,Good Idea,Not Sure,Critical to Me & Others,Not Sure,Not Sure,Good Idea,Critical to Me & Others,Current Direction,Independent,More transparency with the package and not making this all or nothing.,1973,Female,White,No,Post-grad,Married,Full-time,"$150,000 - $199,999",Yes,76210,Texas,Own,Lean Republican,Joe Biden,Donald Trump,Yes,Conservative,Some of the time,Protestant,Once a week,Yes,Very important,Once a day,2025-07-18 17:45:29,2025-07-18 17:55:47
2360072988,0.8021620923,Not sure,Everybody is different.,No,Definitely yes,Yes,Yes,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Good Idea,,Good Idea,Good Idea,Good Idea,Good Idea,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Grand Bargain,Republican,,1946,Male,White,No,4-year,Divorced,Retired,"$20,000 - $29,999",No,32714,Florida,Own,Strong Republican,Joe Biden,Donald Trump,Yes,Conservative,Most of the time,Protestant,A few times a year,No,Very important,Several times a day,2025-07-18 17:46:17,2025-07-18 17:55:51
2360374310,0.7659413499,Yes,None,Yes,Definitely yes,Yes,Yes,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Critical to Me & Others,Grand Bargain,Democrat,,1973,Female,White,No,Post-grad,Married,Full-time,"$150,000 - $199,999",No,47303,Indiana,Own,Not very strong Democrat,Joe Biden,Kamala Harris,Yes,Moderate,Most of the time,Agnostic,Never,No,Not too important,A few times a week,2025-07-18 17:48:03,2025-07-18 17:55:58
2360371080,0.6428625603,Yes,"Change the wording for ""current decision""",Not sure,Definitely yes,Yes,Yes,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Good Idea,Critical to Me & Others,Good Idea,Good Idea,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Grand Bargain,Democrat,,2004,Female,Black,No,4-year,Never married,Full-time,"$60,000 - $69,999",No,28036,North Carolina,Rent,Not very strong Democrat,Did not vote for President,Kamala Harris,Yes,Liberal,Some of the time,Nothing in particular,Never,No,Not too important,A few times a week,2025-07-18 17:46:20,2025-07-18 17:56:40
2360370018,1.158597313,Not sure,I don't know enough about motivations behind app,Not sure,Probably no,Not sure,Not sure,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Hate It,Hate It,Critical to Me & Others,Good Idea,Critical to Me & Others,Critical to Me & Others,,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Good Idea,Critical to Me & Others,Not Sure,Hate It,Not Sure,Not Sure,Critical to Me & Others,Not Sure,Good Idea,Grand Bargain,Democrat,,1960,Female,White,No,Post-grad,Married,Part-time,"$70,000 - $79,999",No,10541,New York,Own,Strong Democrat,Joe Biden,Kamala Harris,Yes,Moderate,Most of the time,Jewish,Never,No,Not at all important,Never,2025-07-18 17:45:25,2025-07-18 17:56:43
2358438022,0.8406433794,Yes,Not everyone want to share such information.,No,Probably yes,No,No,Hate It,Hate It,Hate It,Hate It,Hate It,Hate It,Hate It,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Good Idea,,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Dislike It,Current Direction,Other,Impeach trump and all his Representatives.,1951,Male,Two or more races,No,4-year,Divorced,Retired,"$20,000 - $29,999",No,95757,California,Rent,Independent,Did not vote for President,Did not vote for President,No,Not sure,Most of the time,Protestant,More than once a week,No,Very important,Several times a day,2025-07-18 17:44:21,2025-07-18 17:57:34
2360369752,0.8137472966,Yes,None,Yes,Definitely yes,Yes,Yes,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Critical to Me & Others,,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Grand Bargain,Democrat,,1956,Female,Hispanic,Yes,4-year,Divorced,Retired,"$10,000 - $19,999",No,83854,Idaho,Rent,Strong Democrat,Did not vote for President,Did not vote for President,No,Very liberal,Some of the time,Nothing in particular,Never,No,Not at all important,Once a day,2025-07-18 17:43:53,2025-07-18 17:57:43
2360373398,1.734269696,No,It’s my business,No,Definitely yes,Yes,No,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Good Idea,,Good Idea,Good Idea,Good Idea,Good Idea,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Grand Bargain,Republican,,1962,Female,White,No,2-year,Married,Part-time,Prefer not to say,No,98332,Washington,Own,Strong Republican,Donald Trump,Kamala Harris,Yes,Moderate,Most of the time,Protestant,A few times a year,Yes,Somewhat important,A few times a month,2025-07-18 17:46:37,2025-07-18 17:57:52
2359906094,0.9037680914,No,lack of enough info,No,Probably yes,No,No,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Good Idea,Current Direction,Republican,,1947,Male,White,No,4-year,Married,Retired,"$60,000 - $69,999",No,17057,Pennsylvania,Own,Strong Republican,Donald Trump,Donald Trump,Yes,Very conservative,Most of the time,Protestant,Once a week,Yes,Very important,Several times a day,2025-07-18 17:45:57,2025-07-18 17:57:57
2359884644,0.9675250891,Not sure,different political views could cause friction between senders and receivers,No,Probably yes,Not sure,Not sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Good Idea,,Good Idea,Not Sure,Good Idea,Good Idea,Not Sure,Good Idea,Not Sure,Not Sure,Not Sure,Not Sure,Good Idea,Not Sure,Not Sure,Grand Bargain,Democrat,,1959,Male,White,No,Post-grad,Married,Retired,"$200,000 - $249,999",No,92009,California,Own,Not very strong Democrat,Joe Biden,Kamala Harris,Yes,Liberal,Most of the time,Nothing in particular,Seldom,No,Not at all important,Never,2025-07-18 17:42:49,2025-07-18 17:58:25
2360369954,0.6312122678,Yes,not sure I agree with all of it,Yes,Probably yes,Not sure,No,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,,Not Sure,Not Sure,Good Idea,Not Sure,Good Idea,Good Idea,Not Sure,Dislike It,Not Sure,Not Sure,Good Idea,Good Idea,Good Idea,Grand Bargain,Republican,,1957,Female,White,No,High school graduate,Married,Retired,"$50,000 - $59,999",No,56101,Minnesota,Own,Strong Republican,Donald Trump,Donald Trump,Yes,Liberal,Most of the time,Roman Catholic,A few times a year,No,Somewhat important,Once a day,2025-07-18 17:44:57,2025-07-18 17:58:20
2360369732,0.4882911781,Not sure,I do not share things with others. I am not good on computers so I just try and do emails and surveys.,Not sure,Probably yes,Yes,Not sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Not Sure,,Not Sure,Not Sure,Not Sure,Not Sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Critical to Me & Others,Grand Bargain,Republican,,1947,Female,White,No,High school graduate,Widowed,Retired,"$40,000 - $49,999",No,19464,Pennsylvania,Own,Not very strong Republican,Donald Trump,Donald Trump,Yes,Conservative,Only now and then,Protestant,Once or twice a month,No,Somewhat important,Several times a day,2025-07-18 17:43:50,2025-07-18 17:59:08
2360373540,0.6287228154,Not sure,I don't want to provide tech support,Not sure,Probably no,Not sure,Not sure,Good Idea,Hate It,Good Idea,Critical to Me & Others,Good Idea,Critical to Me & Others,Good Idea,Good Idea,Good Idea,Good Idea,Critical to Me & Others,Good Idea,Hate It,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,Not Sure,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Dislike It,,Critical to Me & Others,Hate It,Critical to Me & Others,Dislike It,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Hate It,Hate It,Good Idea,Critical to Me & Others,Dislike It,Critical to Me & Others,Grand Bargain,Independent,,1983,Female,White,No,Post-grad,Married,Full-time,"$80,000 - $99,999",No,27299,North Carolina,Own,Independent,Joe Biden,Jill Stein,Yes,Very liberal,Most of the time,Agnostic,A few times a year,No,Not at all important,Several times a day,2025-07-18 17:46:39,2025-07-18 17:59:11
